2024/07/07 00:08:28 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.25.0.2:5173/", host: "localhost"
2024/07/07 00:08:28 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /@react-refresh HTTP/1.1", upstream: "http://172.25.0.2:5173/@react-refresh", host: "localhost", referrer: "http://localhost/"
2024/07/07 00:08:28 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /@vite/client HTTP/1.1", upstream: "http://172.25.0.2:5173/@vite/client", host: "localhost", referrer: "http://localhost/"
2024/07/07 00:08:28 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /node_modules/vite/dist/client/env.mjs HTTP/1.1", upstream: "http://172.25.0.2:5173/node_modules/vite/dist/client/env.mjs", host: "localhost", referrer: "http://localhost/@vite/client"
2024/07/07 00:08:28 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/main.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/main.tsx", host: "localhost", referrer: "http://localhost/"
2024/07/07 00:08:28 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routeTree.gen.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routeTree.gen.ts", host: "localhost", referrer: "http://localhost/src/main.tsx"
2024/07/07 00:08:28 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /node_modules/.vite/deps/@chakra-ui_react.js?v=0a11b56e HTTP/1.1", upstream: "http://172.25.0.2:5173/node_modules/.vite/deps/@chakra-ui_react.js?v=0a11b56e", host: "localhost", referrer: "http://localhost/src/main.tsx"
2024/07/07 00:08:28 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/index.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/index.ts", host: "localhost", referrer: "http://localhost/src/main.tsx"
2024/07/07 00:08:28 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/theme.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/theme.tsx", host: "localhost", referrer: "http://localhost/src/main.tsx"
2024/07/07 00:08:29 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/__root.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/__root.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:29 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/reset-password.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/reset-password.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
